,id,payment score
35,cc3bd33edd5b72e5871e5c3b6a3d2ebcfe46611c1150e34d874555c8d6ce981c,118.275
36,a31970e31e3b4e104b1ab9452f928bfd2279a19da4d25c8ea4bbe547a02b2fd3,282.0428833333333
37,439ba3b104abb1cdc3bb7e2a5883645355e62dec4584cdc5f87e85348582c1ef,340.813
38,558f68d68a8e55a34a97c2f137ea6d3634fcf7020ed732e532fa0be9867ef037,12.234
39,078701f4e3aaf0e575cd70c958127ee8ac7e48972964d54709102479fdd1d964,346.26846666666665
40,933ee041fd8df1c5ae6c3abbc61cc8554fcca88ae523ca6d29667e6029324f44,169.418
41,4638d047e9ddb0e289893fe05a0281df1b6241c2e19ab64d3a7940d68a007da4,520.547
42,f5606cc0c16d722d9545c525f0d39f0c3c5481186a557b6f04bfde6c935ea4f5,558.018
43,e5bb30d3ca2ee9547f8b618691b99470a6c62608d8258b12173999ad53516a40,151.409
44,8973774aea81b03dbec66899d17fbad69e0813c2698b9b981856eadc9e394657,116.381
45,e54c5e99289ea0d628468990131f2378117e77d76789661ac944783eea174aef,11.601
46,10ede0261a938f10313c03fd77e5056293f2263701fd39140ca79f4b146d4316,394.941
47,73d816eb28ffb1a4ba14d5052002bcb3b818ca6e9028fd0bc6cd5e16785b1825,125.312
48,6fef950c9353dab2b2cf3b02d6c639a20cd2a1a2781fdfeecff6cbec24a1e8f5,375.891
49,3793e6f037f30efa0ca967d5ed62eb2c4c9c11c2d6a23f68ad9ca6824579c51c,279.986
50,71890028b7c9cfbd6b5e42222ce1d17060ca5afa19c2b3bc709a13b7d58e1c3f,376.545
51,4465e579d9e5193c046b152685520e006cedc4858ac7cd04db8e8219036e4a4f,536.7835452380951
52,941984b63c1c3f01f72b20cbec36e1c0f62530580b350f28781ef9896db7dadc,466.531
53,ccc080b8ae6308ba49ca70c28da157e508f5f677681c5b688b6e68251d327bf8,346.314
54,746718cac36c442a22d6b3bcebe50f35bd5d2b1116ec9b9bf64f6dd624993b00,380.118
55,de83c2f20fe7e4d51081cd19becf6a3500bb5ff224e2e27b8958671e071f93cf,453.835
56,91ff821e1622045b167d5e991219c3aa534d6f1be57aea5094b55426941d273c,101.641
57,63ff73d5583eb50f96421e8667287ff1f7a8b7aecdc87ed4e73fe8308bb28bbf,255.60936666666666
58,bc718794cb74d0220b5024d7c3873dadccc96ee4cda363a63120c1c33b638e4d,63.995324999999994
59,1af2a6c12a45357aed753350e7577334e7f61fd8e407ed6e8105dcd9ee6a43fd,551.137
60,ebc2639eacb04ab1e7d86d84fa77c7d0b3fa96969f63e696a668f09dc9b9cd50,107.616
61,508c7014ec5563f840fd71798bb0ba14a1454eef7e87ba804f0caf937d10c5d8,43.346
62,c35513ba0b1b3108cc71abb5145f3f351603a06e8a09a3dd1745fe1b03e46c2b,38.547
63,0d5156724e25bc3c8ca330c896e7923e8ee1bb3d9755260446668b3e38dc84fc,71.371
64,3046965eef14ab7b98846995bb7def3943da5be5d2208460d16e219c7861167b,390.496
65,75804a1a5ef4f37662f3f502381a0f46f1b3042aafdfc833b52d22ae1678b9af,259.143
66,26f54fd1e5258125e24bed8d791ab6f9b32aa0e048fa3ee44c13aa6a92ab718b,398.00059999999996
67,0dffc68028607af055cc6e7687332d9adea3510e6176d2e694da49da2f9ef431,147.625
68,708222f59f9496e75114813593443ae70fb50a1da40c6e67de205d55f2e086a4,176.933
69,65850c01bc2c73c43975ba9d1c36fe96bab3ca677a936a1d16b771dcee954cfc,484.64938095238097
70,db02b9b0c23ccf726ac52b848ac91de3520c7566a4731a8a9958dbcfff171bc1,54.269
71,476c5657250a9522a23cf49158e2f439a5f2d3bbea592e3410347262bb3cfe80,372.227
72,1c2fbb3df424de1ddc981955eda5d001dd1e281cf85ca58fd7cb7dbbfa4b670b,30.134
73,70297f20c56c38a28a45dc3d653e9f9daec5c946f80d6996998162d2ef5b172b,25.148
74,195579bf1b6e24f9f33d2881a86cb8b6172c5028442b053f0f8b54f93dc6d9fc,279.732
75,fc8c47f47241e59622fa3d986970adc3d9c51e66a7ad96ed77677a5c7b3f8b0a,339.22
76,e0c992fb82bd92a1b5e24dca687c1f4a981cea60cb50cda95fe7e625ac784e90,71.22
77,ec83c84fe572f69100af41cb02cfeebba3579394f9f846ac6a3e35e53266f9bd,376.19
78,ba6e7cd3113e2fce291220fc9c0b7168811259c4d31e45a4b2cfe5e57d02790f,547.5505
79,22e5da5064ea47bf27ad35bc244820e887af68bb4359c542009ba345e7e376ef,125.144
80,4d8dea3ae0f14fbe306556de63d7722bf98f8cfd48c9e210b6dc515d904e2966,22.563
81,a935a58795a740c0e81db41ea67324298146a6243f9a117a238e76af7d9dd23b,46.74
82,45849877733f58af257f532a2479db5be908479ebba2d9df0fa9f03884dede39,7.025
83,ee9924d2764fb7bf4979aeca6e941db7fbd135c858ecae6e83c56bf4839f7afb,93.82741428571427
84,b5eeff877bd5e7c5fb9ea54c603171a2b9292f55c16d8b3561455c3db9ee8bf5,183.789
85,4b1d742c3c884b9f0ad3728e58a56b4cf852750e1e42f698d212bb3889a51329,575.5320333333333
86,a07435d577d077db46386b1eda4f7f4cfb6888443848016197e194991c2f4ebe,173.57
87,3d665769ecb6583b428bcee040ca9074aa77ee4c314a3c6e1904fe51a8268359,24.99
88,151ef221647fcfa9561e87c066b762b44744c50b9471986f9e1dd452fb5fcd70,553.346
89,ed30b6b2c1bc1f1fe2513cfebf4e94a8627ab52056b701b3640ea46813ca62d9,21.169
90,9e67d09f348a62844e7154a8f6e421e81587f8a276dd908cab378f75b7599f03,85.13
91,0993dbc65171f9a0208d51e9f82f8b5efaf040449cc74b1884ad9c5b0d757d54,589.1085
92,347654b47ee4e9db601041d2ac540bcbdf3f80cc67f45a3dd18a24ca1387cdf3,111.436
93,f1af7b24f6e3113dd7ee60fbe63e67f08cd2a16ad18bbc94607a6b22219e8f7f,121.72025
94,2786615730edfe65358f324496bd2ddfbff8bc786acafe91d92d59054a42ffd9,311.9015
95,5d735db7a5c10da568db4a3f8605a29c66c382464e55e340d2f041c9f5d7e8db,112.472
96,70f11a7502f9013e9498e035962d20a61ec54837f70b62ab629a233af86152b1,214.805
97,2200ea4c76c5570ef7fffa50b9f38b18170e069f06d2f8d42f6f33ed57829403,92.457
98,b596d8b1d741f820a7472dc8ae0cc846f3321e9b88ec8749cbdf1828bb29fbed,56.039
99,0eb536225fbbbe0d540ec526d0d1d42009005b1722a4fb0928740085f4aac513,653.429
